feature_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6,clr,W_fig,zero_ind,Kingdom,Phylum,Class,Order,Family,Genus,Species,astro
New.ReferenceOTU226,0,FALSE,FALSE,FALSE,FALSE,-0.19771535,0,No,Bacteria,Cyanobacteria,Synechococcophycideae,Synechococcales,Acaryochloridaceae,Acaryochloris,NA,
1146798,0,FALSE,FALSE,FALSE,FALSE,0.345381546,0,No,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Epulopiscium,NA,
4307265,0,FALSE,FALSE,FALSE,FALSE,0.188548698,0,No,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,NA,
New.ReferenceOTU40,567,FALSE,FALSE,TRUE,TRUE,0.756503397,567,No,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,NA,NA,POS
10961,0,FALSE,FALSE,FALSE,FALSE,-0.048628396,0,No,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,NA,NA,
New.ReferenceOTU39,0,FALSE,FALSE,FALSE,FALSE,-0.055440933,0,No,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,NA,
789621,0,FALSE,FALSE,FALSE,FALSE,0.044744178,0,No,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,NA,
284123,0,FALSE,FALSE,FALSE,FALSE,-0.024844024,0,No,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,NA,
238608,0,FALSE,FALSE,FALSE,FALSE,-0.297057435,0,No,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,NA,
153941,0,FALSE,FALSE,FALSE,FALSE,0.002995808,0,No,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,NA,
573432,0,FALSE,FALSE,FALSE,FALSE,0.081629276,0,No,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,NA,
297260,0,FALSE,FALSE,FALSE,FALSE,0.048315535,0,No,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,NA,
112997,0,FALSE,FALSE,FALSE,FALSE,0.37238382,0,No,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,NA,
308309,0,FALSE,FALSE,FALSE,FALSE,0.20394857,0,No,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,NA,NA,
3805518,0,FALSE,FALSE,FALSE,FALSE,0.626485338,0,No,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,SMB53,NA,
321119,0,FALSE,FALSE,FALSE,FALSE,0.23862785,0,No,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,NA,NA,
New.CleanUp.ReferenceOTU18124,0,FALSE,FALSE,FALSE,FALSE,0.273042128,0,No,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,NA,NA,
247639,562,FALSE,FALSE,TRUE,TRUE,0.183971858,562,No,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,NA,NA,POS
180009,0,FALSE,FALSE,FALSE,FALSE,0.298371101,0,No,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,SMB53,NA,
New.ReferenceOTU135,256,FALSE,FALSE,FALSE,FALSE,0.161201576,256,No,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,SMB53,NA,
531374,0,FALSE,FALSE,FALSE,FALSE,0.375309418,0,No,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,NA,NA,
New.CleanUp.ReferenceOTU251,0,FALSE,FALSE,FALSE,FALSE,-0.05216889,0,No,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,NA,NA,
351976,0,FALSE,FALSE,FALSE,FALSE,0.667152933,0,No,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,NA,NA,
New.CleanUp.ReferenceOTU96570,206,FALSE,FALSE,FALSE,FALSE,0.132623559,206,No,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,SMB53,NA,
New.ReferenceOTU94,0,FALSE,FALSE,FALSE,FALSE,-0.107580663,0,No,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,SMB53,NA,
76821,0,FALSE,FALSE,FALSE,FALSE,-0.032489873,0,No,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,NA,NA,
New.ReferenceOTU298,0,FALSE,FALSE,FALSE,FALSE,-0.034770722,0,No,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,penetrans,
New.CleanUp.ReferenceOTU142886,0,FALSE,FALSE,FALSE,FALSE,-0.075519291,0,No,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,NA,
New.CleanUp.ReferenceOTU7477,0,FALSE,FALSE,FALSE,FALSE,0.11756284,0,No,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,penetrans,
New.ReferenceOTU212,0,FALSE,FALSE,FALSE,FALSE,0.228424825,0,No,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,NA,NA,
New.CleanUp.ReferenceOTU16842,0,FALSE,FALSE,FALSE,FALSE,-0.07110054,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
528357,0,FALSE,FALSE,FALSE,FALSE,0.106740232,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
1027587,0,FALSE,FALSE,FALSE,FALSE,0.030010696,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
1082539,0,FALSE,FALSE,FALSE,FALSE,0.176825593,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
1068499,0,FALSE,FALSE,FALSE,FALSE,0.038117384,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
1007926,0,FALSE,FALSE,FALSE,FALSE,-0.043750663,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
968954,0,FALSE,FALSE,FALSE,FALSE,-0.070747577,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
149109,0,FALSE,FALSE,FALSE,FALSE,-0.053257053,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
1083194,0,FALSE,FALSE,FALSE,FALSE,0.117303154,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
949816,0,FALSE,FALSE,FALSE,FALSE,0.027643822,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
1078207,0,FALSE,FALSE,FALSE,FALSE,0.238510959,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
1061772,0,FALSE,FALSE,FALSE,FALSE,0.054052452,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.ReferenceOTU52,0,FALSE,FALSE,FALSE,FALSE,0.03282463,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.CleanUp.ReferenceOTU63504,0,FALSE,FALSE,FALSE,FALSE,-0.067027694,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.ReferenceOTU38,0,FALSE,FALSE,FALSE,FALSE,0.273505891,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.ReferenceOTU419,0,FALSE,FALSE,FALSE,FALSE,0.181670213,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.CleanUp.ReferenceOTU23924,0,FALSE,FALSE,FALSE,FALSE,-0.098519106,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
1088134,0,FALSE,FALSE,FALSE,FALSE,0.343757828,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
4430300,0,FALSE,FALSE,FALSE,FALSE,-0.067401291,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
217734,0,FALSE,FALSE,FALSE,FALSE,0.089277375,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
513646,0,FALSE,FALSE,FALSE,FALSE,0.076041477,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
4373680,0,FALSE,FALSE,FALSE,FALSE,0.003954245,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
4369035,0,FALSE,FALSE,FALSE,FALSE,0.039673753,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
1092300,0,FALSE,FALSE,FALSE,FALSE,0.306563014,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.ReferenceOTU180,0,FALSE,FALSE,FALSE,FALSE,-0.092598294,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
511795,0,FALSE,FALSE,FALSE,FALSE,0.004951264,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
3678349,0,FALSE,FALSE,FALSE,FALSE,-0.116572322,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.CleanUp.ReferenceOTU38117,0,FALSE,FALSE,FALSE,FALSE,0.040327134,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.CleanUp.ReferenceOTU66152,0,FALSE,FALSE,FALSE,FALSE,-0.118880434,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.CleanUp.ReferenceOTU133904,0,FALSE,FALSE,FALSE,FALSE,0.15136894,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.ReferenceOTU300,0,FALSE,FALSE,FALSE,FALSE,-0.167525705,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
797560,0,FALSE,FALSE,FALSE,FALSE,-0.237016949,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.ReferenceOTU455,419,FALSE,FALSE,FALSE,FALSE,0.62175994,419,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
567960,0,FALSE,FALSE,FALSE,FALSE,0.00256287,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
1141646,535,FALSE,FALSE,TRUE,TRUE,0.846113505,535,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,POS
New.CleanUp.ReferenceOTU77823,0,FALSE,FALSE,FALSE,FALSE,-0.055806162,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.ReferenceOTU14,161,FALSE,FALSE,FALSE,FALSE,0.230444921,161,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.CleanUp.ReferenceOTU80396,0,FALSE,FALSE,FALSE,FALSE,0.018849931,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.CleanUp.ReferenceOTU93668,0,FALSE,FALSE,FALSE,FALSE,0.06026634,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.CleanUp.ReferenceOTU46286,0,FALSE,FALSE,FALSE,FALSE,-0.035995919,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.ReferenceOTU208,0,FALSE,FALSE,FALSE,FALSE,0.096653727,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.CleanUp.ReferenceOTU48867,0,FALSE,FALSE,FALSE,FALSE,0.071154246,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.ReferenceOTU162,0,FALSE,FALSE,FALSE,FALSE,0.237038195,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.CleanUp.ReferenceOTU153509,0,FALSE,FALSE,FALSE,FALSE,-0.211726504,0,No,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,succinus,
894774,0,FALSE,FALSE,FALSE,FALSE,-0.200326055,0,No,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,NA,NA,
348680,0,FALSE,FALSE,FALSE,FALSE,-0.036737007,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,NA,
New.ReferenceOTU367,0,FALSE,FALSE,FALSE,FALSE,-0.056186331,0,No,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,NA,
609533,0,FALSE,FALSE,FALSE,FALSE,0.356042345,0,No,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,NA,
574032,0,FALSE,FALSE,FALSE,FALSE,-0.233378407,0,No,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Conexibacteraceae,Conexibacter,NA,
217392,0,FALSE,FALSE,FALSE,FALSE,-0.161581927,0,No,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Conexibacteraceae,NA,NA,
371783,1,FALSE,FALSE,FALSE,FALSE,0.055224686,1,No,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,NA,NA,
1012112,0,FALSE,FALSE,FALSE,FALSE,-0.13805337,0,No,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,NA,NA,
979536,0,FALSE,FALSE,FALSE,FALSE,-0.078405649,0,No,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,NA,NA,
221896,0,FALSE,FALSE,FALSE,FALSE,-0.172497207,0,No,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,Candidatus Xiphinematobacter,NA,
226470,0,FALSE,FALSE,FALSE,FALSE,0.077783471,0,No,Bacteria,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,NA,NA,
