feature_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6,clr,W_fig,zero_ind,Kingdom,Phylum,Class,Order,Family,Genus,Species,astro
New.ReferenceOTU226,0,FALSE,FALSE,FALSE,FALSE,-0.157448879,0,No,Bacteria,Cyanobacteria,Synechococcophycideae,Synechococcales,Acaryochloridaceae,Acaryochloris,NA,
1146798,Inf,TRUE,TRUE,TRUE,TRUE,-0.093532356,718,Yes,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Epulopiscium,NA,
4307265,402,FALSE,FALSE,FALSE,FALSE,-0.208781109,402,No,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,NA,
New.ReferenceOTU40,684,TRUE,TRUE,TRUE,TRUE,1.53272103,684,No,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,NA,NA,POS
10961,1,FALSE,FALSE,FALSE,FALSE,-0.050316868,1,No,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,NA,NA,
New.ReferenceOTU39,1,FALSE,FALSE,FALSE,FALSE,0.104157811,1,No,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,NA,
New.CleanUp.ReferenceOTU68394,169,FALSE,FALSE,FALSE,FALSE,-0.314723868,169,No,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,NA,
789621,0,FALSE,FALSE,FALSE,FALSE,0.373774459,0,No,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,NA,
284123,1,FALSE,FALSE,FALSE,FALSE,0.281532262,1,No,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,NA,
238608,0,FALSE,FALSE,FALSE,FALSE,0.285955217,0,No,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,NA,
153941,1,FALSE,FALSE,FALSE,FALSE,0.346748683,1,No,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,NA,
573432,0,FALSE,FALSE,FALSE,FALSE,0.445721978,0,No,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,NA,
297260,0,FALSE,FALSE,FALSE,FALSE,0.352837332,0,No,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,NA,
112997,503,FALSE,FALSE,TRUE,TRUE,-1.025033231,503,No,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,NA,NEG
308309,1,FALSE,FALSE,FALSE,FALSE,0.509525556,1,No,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,NA,NA,
3805518,0,FALSE,FALSE,FALSE,FALSE,-0.614935832,0,No,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,SMB53,NA,
321119,Inf,TRUE,TRUE,TRUE,TRUE,-0.046580422,718,Yes,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,NA,NA,
New.CleanUp.ReferenceOTU18124,Inf,TRUE,TRUE,TRUE,TRUE,0.023483612,718,Yes,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,NA,NA,
247639,153,FALSE,FALSE,FALSE,FALSE,-0.362475045,153,No,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,NA,NA,
180009,Inf,TRUE,TRUE,TRUE,TRUE,0.153025586,718,Yes,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,SMB53,NA,
New.ReferenceOTU135,167,FALSE,FALSE,FALSE,FALSE,-0.319109381,167,No,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,SMB53,NA,
531374,0,FALSE,FALSE,FALSE,FALSE,-0.039073117,0,No,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,NA,NA,
New.CleanUp.ReferenceOTU251,0,FALSE,FALSE,FALSE,FALSE,-0.015974175,0,No,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,NA,NA,
351976,0,FALSE,FALSE,FALSE,FALSE,-0.303171205,0,No,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,NA,NA,
New.CleanUp.ReferenceOTU96570,14,FALSE,FALSE,FALSE,FALSE,-0.060581562,14,No,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,SMB53,NA,
New.ReferenceOTU94,0,FALSE,FALSE,FALSE,FALSE,-0.06140646,0,No,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,SMB53,NA,
76821,713,TRUE,TRUE,TRUE,TRUE,2.004323594,713,No,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,NA,NA,POS
New.ReferenceOTU298,444,FALSE,FALSE,FALSE,TRUE,0.441221236,444,No,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,penetrans,POS
New.CleanUp.ReferenceOTU142886,271,FALSE,FALSE,FALSE,FALSE,0.106515425,271,No,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,NA,
New.CleanUp.ReferenceOTU7477,498,FALSE,FALSE,FALSE,TRUE,-0.03384738,498,No,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,penetrans,POS
New.ReferenceOTU212,0,FALSE,FALSE,FALSE,FALSE,-0.10253278,0,No,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,NA,NA,
New.CleanUp.ReferenceOTU16842,1,FALSE,FALSE,FALSE,FALSE,-0.074164189,1,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
528357,1,FALSE,FALSE,FALSE,FALSE,0.047899539,1,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
1027587,1,FALSE,FALSE,FALSE,FALSE,-0.110685675,1,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
1082539,1,FALSE,FALSE,FALSE,FALSE,0.37931646,1,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
1068499,17,FALSE,FALSE,FALSE,FALSE,-0.187670462,17,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
1007926,0,FALSE,FALSE,FALSE,FALSE,-0.065119135,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
968954,1,FALSE,FALSE,FALSE,FALSE,0.069861942,1,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
149109,1,FALSE,FALSE,FALSE,FALSE,-0.015346216,1,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
1083194,1,FALSE,FALSE,FALSE,FALSE,0.644006189,1,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
949816,1,FALSE,FALSE,FALSE,FALSE,-0.276460877,1,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
1078207,1,FALSE,FALSE,FALSE,FALSE,0.052277528,1,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
1061772,1,FALSE,FALSE,FALSE,FALSE,-0.132793807,1,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.ReferenceOTU52,1,FALSE,FALSE,FALSE,FALSE,0.071648787,1,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.CleanUp.ReferenceOTU63504,0,FALSE,FALSE,FALSE,FALSE,0.136038364,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.ReferenceOTU38,1,FALSE,FALSE,FALSE,FALSE,0.645094014,1,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.ReferenceOTU419,44,FALSE,FALSE,FALSE,FALSE,-0.25745142,44,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.CleanUp.ReferenceOTU23924,1,FALSE,FALSE,FALSE,FALSE,-0.085651558,1,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
1088134,1,FALSE,FALSE,FALSE,FALSE,0.597876412,1,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
4430300,1,FALSE,FALSE,FALSE,FALSE,-0.057502635,1,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
217734,1,FALSE,FALSE,FALSE,FALSE,0.167931139,1,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
513646,1,FALSE,FALSE,FALSE,FALSE,-0.121461386,1,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
4373680,1,FALSE,FALSE,FALSE,FALSE,-0.220821671,1,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
4369035,0,FALSE,FALSE,FALSE,FALSE,-0.070386373,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
1092300,0,FALSE,FALSE,FALSE,FALSE,0.598186118,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.ReferenceOTU180,0,FALSE,FALSE,FALSE,FALSE,0.14127978,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
511795,1,FALSE,FALSE,FALSE,FALSE,-0.24794424,1,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
3678349,1,FALSE,FALSE,FALSE,FALSE,0.003018731,1,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.CleanUp.ReferenceOTU38117,1,FALSE,FALSE,FALSE,FALSE,0.11112821,1,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.CleanUp.ReferenceOTU66152,90,FALSE,FALSE,FALSE,FALSE,-0.098785021,90,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.CleanUp.ReferenceOTU133904,1,FALSE,FALSE,FALSE,FALSE,-0.007085646,1,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.ReferenceOTU300,1,FALSE,FALSE,FALSE,FALSE,0.082719732,1,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
797560,0,FALSE,FALSE,FALSE,FALSE,-0.049526636,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.ReferenceOTU455,1,FALSE,FALSE,FALSE,FALSE,0.181764521,1,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
567960,1,FALSE,FALSE,FALSE,FALSE,0.115466191,1,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
1141646,0,FALSE,FALSE,FALSE,FALSE,0.364395771,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.CleanUp.ReferenceOTU77823,1,FALSE,FALSE,FALSE,FALSE,0.123062207,1,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.ReferenceOTU14,1,FALSE,FALSE,FALSE,FALSE,0.110707235,1,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.CleanUp.ReferenceOTU80396,60,FALSE,FALSE,FALSE,FALSE,0.16268879,60,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.CleanUp.ReferenceOTU93668,33,FALSE,FALSE,FALSE,FALSE,0.345340055,33,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.CleanUp.ReferenceOTU46286,1,FALSE,FALSE,FALSE,FALSE,0.126837986,1,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.ReferenceOTU208,1,FALSE,FALSE,FALSE,FALSE,0.196398585,1,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.CleanUp.ReferenceOTU48867,0,FALSE,FALSE,FALSE,FALSE,-0.091119971,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.ReferenceOTU162,1,FALSE,FALSE,FALSE,FALSE,0.440483319,1,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,
New.CleanUp.ReferenceOTU153509,0,FALSE,FALSE,FALSE,FALSE,-0.138829541,0,No,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,succinus,
894774,1,FALSE,FALSE,FALSE,FALSE,-0.091362952,1,No,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,NA,NA,
348680,0,FALSE,FALSE,FALSE,FALSE,0.069296028,0,No,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,NA,
New.ReferenceOTU367,1,FALSE,FALSE,FALSE,FALSE,0.058229213,1,No,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,NA,
