CCA1,CCA2,vgntxt,ccatype,Phylum,Class,Order,Family,Genus,names,plot
-1.093717952,0.52397638,1033426,species,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,1033426,
3.519368428,-8.758399237,505587,species,Firmicutes,Clostridia,Clostridiales,Tissierellaceae,Finegoldia,505587,
-3.710447866,-1.526352544,274011,species,Thermi,Deinococci,Deinococcales,Trueperaceae,Truepera,274011,
-0.172078657,0.962246228,574032,species,Actinobacteria,Thermoleophilia,Solirubrobacterales,Conexibacteraceae,Conexibacter,574032,
-1.969519808,0.406760425,1127882,species,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,1127882,
-1.739891306,-0.937733141,188500,species,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Demequina,188500,
-2.035388071,0.162560448,27616,species,Firmicutes,Clostridia,Clostridiales,Mogibacteriaceae,Anaerovorax,27616,
0.597887282,2.088678763,759378,species,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Alkaliphilus,759378,1
-1.187190596,0.025132739,586743,species,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Parapedobacter,586743,
1.1669842,-0.547777928,4440018,species,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,4440018,
0.029708031,-0.434148771,523589,species,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,523589,1
-1.151698789,1.591306654,808758,species,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,808758,
-0.044286324,1.10789828,672252,species,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Edaphobacter,672252,
0.927118412,2.03856419,383023,species,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum,383023,
1.045967709,-1.128775079,367282,species,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Chondromyces,367282,
-1.849418117,0.516690479,1122581,species,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,1122581,
-2.470311261,0.053873444,1137392,species,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Sphaerisporangium,1137392,
-0.233894787,-0.91947544,1141646,species,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,1141646,1
-2.118782062,-0.724551882,567669,species,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Kocuria,567669,
-0.990063461,-0.234017893,239824,species,Actinobacteria,Actinobacteria,Actinomycetales,Gordoniaceae,Gordonia,239824,
-2.97614062,-1.809744297,999870,species,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella,999870,
-0.042263707,1.216137831,1084417,species,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia,1084417,
-2.553447534,-0.805050614,562759,species,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,562759,
1.084470502,1.967881041,809991,species,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Salinicoccus,809991,1
0.197424947,2.512442803,801438,species,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Dickeya,801438,
-2.10330891,-0.989205217,731707,species,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hylemonella,731707,
3.340005704,-3.512313246,3053045,species,Actinobacteria,Actinobacteria,Actinomycetales,Promicromonosporaceae,Cellulosimicrobium,3053045,
-2.141081926,-0.063567371,223206,species,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Dokdonella,223206,
-1.876946176,1.578475268,1015017,species,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Nannocystis,1015017,
4.380339666,3.195388041,521866,species,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,521866,
-1.038119965,-0.928635663,132981,species,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Shinella,132981,
6.426180876,-4.695863976,809380,species,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,809380,
1.093624381,-1.162569375,4324038,species,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,4324038,
-1.504470514,-0.535833683,824826,species,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,824826,
-1.998712272,0.940846588,543156,species,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Labrys,543156,
-1.460092841,-0.404978036,591683,species,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,591683,
-0.849780185,0.303294659,294254,species,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,294254,1
-2.431058649,2.29407239,4366724,species,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,C39,4366724,
6.591988943,-4.751470412,59529,species,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Selenomonas,59529,
-0.8048092,0.501420879,558264,species,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,558264,
4.25654319,-2.529154895,1146205,species,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Candidatus_Portiera,1146205,
-2.511671119,-1.530430407,1111882,species,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,1111882,
2.038341442,1.272131129,515638,species,Firmicutes,Bacilli,Bacillales,Planococcaceae,Solibacillus,515638,
