CCA1,CCA2,vgntxt,ccatype,Phylum,Class,Order,Family,Genus,names,plot
1.42092225,5.44580519,Nr_ST,bp,NA,NA,NA,NA,NA,NA,
2.980487225,2.681413858,AA_pdist_mean,bp,NA,NA,NA,NA,NA,NA,
3.435925655,2.853052201,ST2,bp,NA,NA,NA,NA,NA,NA,
-3.181109911,2.99663712,ST4,bp,NA,NA,NA,NA,NA,NA,
5.937547497,2.433213945,ST9,bp,NA,NA,NA,NA,NA,NA,
-3.860936515,2.887890013,ST10,bp,NA,NA,NA,NA,NA,NA,
-0.45286415,0.014324783,AJ0899,sites,NA,NA,NA,NA,NA,NA,
-0.41884997,-0.019558901,AJ0949,sites,NA,NA,NA,NA,NA,NA,
-0.327749353,-0.186750329,AJ2163,sites,NA,NA,NA,NA,NA,NA,
-0.232427517,-0.143507444,AJ0472,sites,NA,NA,NA,NA,NA,NA,
0.308154441,0.451079923,AJ1927,sites,NA,NA,NA,NA,NA,NA,
-0.178751032,0.074102454,AJ0317,sites,NA,NA,NA,NA,NA,NA,
-0.113322544,0.149667348,AJ0138,sites,NA,NA,NA,NA,NA,NA,
0.111542983,-0.646344999,AJ0429,sites,NA,NA,NA,NA,NA,NA,
0.007797337,-0.355044809,AJ0669,sites,NA,NA,NA,NA,NA,NA,
-0.296291765,-0.439956121,AJ0695,sites,NA,NA,NA,NA,NA,NA,
0.099522628,-1.090640662,AJ0703,sites,NA,NA,NA,NA,NA,NA,
0.040266766,0.349056171,AJ0729,sites,NA,NA,NA,NA,NA,NA,
-0.361550724,0.052291712,AJ0753,sites,NA,NA,NA,NA,NA,NA,
-1.967782493,2.104540732,AJ0754,sites,NA,NA,NA,NA,NA,NA,
-0.387215465,0.068522916,AJ0758,sites,NA,NA,NA,NA,NA,NA,
-0.236631436,-0.904889558,AJ0814,sites,NA,NA,NA,NA,NA,NA,
1.761051504,0.5905607,AJ0819,sites,NA,NA,NA,NA,NA,NA,
-0.338037094,-1.274735386,AJ0835,sites,NA,NA,NA,NA,NA,NA,
-0.312979177,-0.023861616,AJ0853,sites,NA,NA,NA,NA,NA,NA,
-0.289007357,-0.148930565,AJ0883,sites,NA,NA,NA,NA,NA,NA,
-0.594089447,0.069984446,AJ0890,sites,NA,NA,NA,NA,NA,NA,
-0.321718944,-0.103752537,AJ0891,sites,NA,NA,NA,NA,NA,NA,
0.338502248,0.51620748,AJ0897,sites,NA,NA,NA,NA,NA,NA,
-0.251003131,-0.51066063,AJ0901,sites,NA,NA,NA,NA,NA,NA,
-0.962846388,0.380253763,AJ0912,sites,NA,NA,NA,NA,NA,NA,
0.184848296,0.284094538,AJ1026,sites,NA,NA,NA,NA,NA,NA,
0.462829385,0.615508224,AJ1049,sites,NA,NA,NA,NA,NA,NA,
-0.088395213,-0.018496086,AJ1384,sites,NA,NA,NA,NA,NA,NA,
0.389772586,-0.390372003,AJ1424,sites,NA,NA,NA,NA,NA,NA,
0.235954847,0.439279058,AJ1542,sites,NA,NA,NA,NA,NA,NA,
0.530676372,0.49351464,AJ1998,sites,NA,NA,NA,NA,NA,NA,
0.61695631,0.676950064,AJ2000,sites,NA,NA,NA,NA,NA,NA,
0.759663101,0.765038946,AJ2097,sites,NA,NA,NA,NA,NA,NA,
-0.366677263,-0.010471662,AJ2155,sites,NA,NA,NA,NA,NA,NA,
-0.148213463,0.26148623,AJ2157,sites,NA,NA,NA,NA,NA,NA,
-0.217825115,-0.300539566,AJ2162,sites,NA,NA,NA,NA,NA,NA,
0.390224319,0.491579652,AJ2196,sites,NA,NA,NA,NA,NA,NA,
-0.012564028,-1.376219087,AJ2204,sites,NA,NA,NA,NA,NA,NA,
0.666256947,0.731629611,AJ2216,sites,NA,NA,NA,NA,NA,NA,
1.076455784,0.767727744,AJ2219,sites,NA,NA,NA,NA,NA,NA,
