CCA1,CCA2,vgntxt,ccatype,Phylum,Class,Order,Family,Genus,names,plot
-1.124598453,2.183324175,AA_pdist_mean,bp,NA,NA,NA,NA,NA,NA,
-0.468980835,2.277343993,ST6,bp,NA,NA,NA,NA,NA,NA,
-1.772657936,-2.128918296,ST10,bp,NA,NA,NA,NA,NA,NA,
-0.664362164,1.056530955,AJ0012,sites,NA,NA,NA,NA,NA,NA,
-0.783644022,-0.352341429,AJ0015,sites,NA,NA,NA,NA,NA,NA,
0.039279297,0.286619316,AJ0078,sites,NA,NA,NA,NA,NA,NA,
0.375414241,0.664463025,AJ0485,sites,NA,NA,NA,NA,NA,NA,
-0.665323956,-0.323716861,AJ0503,sites,NA,NA,NA,NA,NA,NA,
-0.503929222,-1.458229304,AJ0702,sites,NA,NA,NA,NA,NA,NA,
0.042727067,0.273693253,AJ0722,sites,NA,NA,NA,NA,NA,NA,
-0.056064214,0.118895748,AJ0865,sites,NA,NA,NA,NA,NA,NA,
0.4012686,-0.128236655,AJ2185,sites,NA,NA,NA,NA,NA,NA,
-0.112654728,0.080048178,AJ2188,sites,NA,NA,NA,NA,NA,NA,
-0.027738386,-0.070184598,AJ2190,sites,NA,NA,NA,NA,NA,NA,
1.078330238,-0.346425388,AJ2238,sites,NA,NA,NA,NA,NA,NA,
0.859590626,-0.256664768,AJ2249,sites,NA,NA,NA,NA,NA,NA,
-0.095520204,0.109857424,AJ2259,sites,NA,NA,NA,NA,NA,NA,
-0.102880614,0.123431735,AJ2264,sites,NA,NA,NA,NA,NA,NA,
0.337876787,0.465979677,AJ2272,sites,NA,NA,NA,NA,NA,NA,
0.014745984,0.174335649,AJ2337,sites,NA,NA,NA,NA,NA,NA,
-0.05130809,0.04476415,AJ2344,sites,NA,NA,NA,NA,NA,NA,
-0.151499899,0.05021534,AJ2346,sites,NA,NA,NA,NA,NA,NA,
-0.210890975,0.016609483,AJ2354,sites,NA,NA,NA,NA,NA,NA,
-0.447626792,-0.165893918,AJ2391,sites,NA,NA,NA,NA,NA,NA,
-0.641806997,-0.407374365,AJ2392,sites,NA,NA,NA,NA,NA,NA,
-0.681046076,-0.330925319,AJ2553,sites,NA,NA,NA,NA,NA,NA,
0.056435738,0.084390663,AJ2828,sites,NA,NA,NA,NA,NA,NA,
0.182871251,0.662397226,AJ0598,sites,NA,NA,NA,NA,NA,NA,
-0.343792168,-0.334678422,AJ0961,sites,NA,NA,NA,NA,NA,NA,
-0.407491832,1.956573624,AJ2839,sites,NA,NA,NA,NA,NA,NA,
1.395799413,-0.49185946,AJ2246,sites,NA,NA,NA,NA,NA,NA,
0.566222466,0.025038871,AJ2237,sites,NA,NA,NA,NA,NA,NA,
-1.491630089,-0.693082906,AJ2821,sites,NA,NA,NA,NA,NA,NA,
-0.223471109,-0.535821498,AJ0032,sites,NA,NA,NA,NA,NA,NA,
1.688472292,-0.463890491,AJ2268,sites,NA,NA,NA,NA,NA,NA,
-1.461868615,-0.920267767,543508,species,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,543508,1
-1.131174229,-4.396238767,505587,species,Firmicutes,Clostridia,Clostridiales,Tissierellaceae,Finegoldia,505587,
